Comment|Comment
3|133016
4|112648
6|140686
9|117203
29|49637
31|81168
34|105081
53|9364
54|13496
54|152775
54|152261
54|54407
58|50853
59|5002
65|45468
68|10157
70|132017
74|126122
78|11886
85|150295
86|67164
89|79470
90|163089
97|145753
99|52578
114|45320
115|121369
119|188734
123|51177
128|3916
129|26842
130|95787
130|175909
132|41085
133|189549
134|185604
135|72794
138|64633
140|152267
141|114401
142|100991
144|103472
145|150462
148|71856
149|52803
156|179614
160|55079
163|85037
163|116386
163|5396
164|17661
167|80739
167|137157
168|74998
168|55521
169|150870
169|7100
179|131238
183|134242
184|155884
187|3473
195|71235
196|34414
196|4756
201|72174
209|62076
210|90240
212|117537
212|148560
214|47933
222|116215
224|163743
224|90318
225|127818
237|87635
238|92135
239|139967
242|84209
242|134118
244|85382
248|13511
248|189172
251|85814
254|100552
256|132831
261|144935
262|44143
262|4840
263|109247
266|22984
268|115690
271|123207
275|96401
275|24515
276|57588
277|1783
286|55842
290|35361
296|6877
296|195754
298|87677
300|130477
301|100558
307|80299
316|157255
316|57564
317|7334
321|13427
325|162364
336|16068
341|121763
347|161419
349|130991
356|51164
360|34451
360|62129
361|140324
365|12171
365|53149
366|63270
367|27866
373|118717
375|52715
376|23740
377|165761
377|58314
379|160890
387|3266
389|30979
391|156134
394|106318
394|30037
415|170491
417|109820
420|55853
420|35033
424|142421
424|169307
434|92526
440|39998
444|163947
444|48553
452|33933
459|91000
463|3470
466|149829
466|40001
477|63913
477|124278
479|9672
481|19868
484|86570
486|19867
487|175075
499|59321
500|137889
505|158197
505|137825
508|51403
509|57596
513|32258
514|175352
516|192108
519|184779
525|103389
529|51745
532|61284
532|70690
533|82128
534|187136
536|101370
537|136154
538|177250
540|153587
546|149172
556|185558
564|105756
565|97916
572|16028
577|117976
578|121893
581|69830
581|38591
587|119441
588|79557
588|157593
589|54384
595|111146
599|36432
607|136200
612|199909
613|168285
614|169875
614|198195
617|26607
618|14098
619|92931
623|62698
628|118598
639|49242
641|175150
655|189746
657|35469
659|30180
668|61648
673|128172
673|118293
676|183965
678|69511
681|20271
687|48307
696|98360
702|507
703|194466
706|16610
708|73240
711|61719
712|50838
712|152619
713|121062
717|50957
732|68504
733|138577
733|15284
733|20023
741|93116
752|45545
756|10697
757|2800
757|197698
757|71115
758|175552
759|57841
759|43758
761|178185
763|65848
765|186382
766|74064
768|126074
768|172857
769|65963
769|167015
773|55048
773|144888
773|104811
782|114316
783|51231
785|6770
786|140911
786|69540
790|77858
791|35666
791|72729
792|82784
795|171802
796|32874
797|70875
798|122355
802|100332
803|53527
803|192057
807|83342
808|34237
809|6067
810|130222
814|65536
817|115619
818|139393
821|127237
821|191855
824|99123
826|118141
832|167264
833|168652
839|177746
840|199096
841|19994
845|17781
847|126595
851|82903
854|91068
856|38264
856|36052
860|67348
860|147074
861|117208
861|35627
863|36689
865|180570
868|30833
868|199957
874|67514
875|126703
880|66589
880|195215
899|24449
899|144171
901|197499
902|36412
904|80244
905|89370
907|97657
907|21333
908|95801
911|169056
920|85544
922|61753
924|9514
927|9243
927|36521
928|107947
934|156663
938|190931
939|147035
941|187565
948|159916
951|59725
958|34018
960|164594
961|51032
967|185876
970|62304
971|69196
973|66694
980|35115
980|132089
984|66819
986|82803
988|2469
992|134474
993|28878
999|120235
1003|152070
1005|64148
1006|7826
1006|40269
1008|149850
1015|95277
1015|11530
1016|153956
1027|88933
1033|1258
1034|172824
1040|70560
1044|158040
1045|142246
1046|84087
1051|31443
1054|55400
1056|95462
1057|96492
1059|5080
1062|36139
1063|183781
1065|21477
1067|63892
1070|37924
1075|52863
1079|32593
1080|127678
1080|67325
1080|161086
1083|156623
1098|139407
1098|67798
1106|169154
1107|63999
1112|23829
1115|150602
1131|94501
1133|85993
1136|151874
1137|9677
1148|181902
1151|91961
1154|9647
1158|96405
1160|32456
1164|127187
1166|67213
1167|66746
1172|101606
1174|60825
1176|27314
1179|186412
1181|195879
1184|147133
1191|50327
1199|155525
1208|100166
1209|180225
1209|138408
1212|30309
1215|1040
1217|40248
1218|139481
1219|193528
1221|62396
1222|84468
1223|28117
1226|3734
1228|141769
1230|162762
1230|146231
1230|151666
1231|31613
1233|54653
1233|151284
1235|152075
1235|11257
1237|138151
1237|177756
1242|108551
1247|24516
1249|140085
1250|7785
1253|74162
1259|72872
1262|78861
1265|48665
1270|142676
1276|21227
1278|26350
1278|135457
1284|196408
1289|103940
1301|179316
1301|33061
1303|13736
1305|143344
1310|37776
1314|148335
1317|136961
1326|78589
1329|182155
1329|8316
1330|795
1331|63015
1333|154126
1334|190217
1337|91662
1340|27756
1340|98829
1340|192442
1343|119537
1344|24633
1345|129558
1347|102945
1350|127311
1351|82172
1353|130321
1357|146797
1358|67598
1361|101169
1378|52585
1380|108314
1382|60151
1385|158089
1385|141425
1386|136342
1393|96185
1398|117046
1399|197198
1402|116031
1403|36388
1407|6740
1410|147091
1413|157311
1413|148938
1417|127496
1419|54594
1420|44316
1422|46657
1425|121137
1429|28675
1431|18209
1432|103132
1432|33912
1433|7318
1434|6602
1438|191025
1441|146492
1443|6333
1444|5548
1445|94655
1448|180779
1449|71516
1449|173616
1463|31061
1465|36453
1469|4600
1471|135875
1471|26424
1478|131857
1479|54394
1481|51247
1484|89933
1486|22671
1486|67004
1487|74508
1492|118326
1493|28208
1493|98146
1496|11101
1496|44506
1499|180102
1501|53641
1503|185801
1509|164772
1514|41143
1526|73548
1527|20831
1531|94717
1531|61554
1534|195383
1534|179338
1537|89407
1539|83741
1543|108172
1546|21435
1547|191431
1548|166331
1553|63926
1555|184070
1555|46278
1566|41621
1571|169635
1580|200349
1582|136748
1583|67685
1585|112420
1586|54698
1586|41758
1587|173691
1587|191738
1589|156683
1589|63853
1594|17089
1595|68753
1598|52859
1602|169298
1603|161369
1604|191793
1608|46644
1611|10852
1612|821
1615|39199
1615|195414
1622|13203
1622|88629
1624|23595
1626|144326
1629|158654
1633|157788
1636|35663
1638|182971
1642|160455
1644|92062
1646|168665
1646|5613
1647|104928
1648|42259
1655|9355
1658|22646
1659|50660
1659|121716
1661|5105
1671|171828
1690|192330
1692|150341
1698|142472
1701|59721
1711|174201
1712|98471
1714|149588
1721|28942
1727|64961
1727|120326
1729|176706
1733|65917
1737|27478
1747|113059
1752|25192
1752|181643
1753|142677
1753|193552
1754|93089
1758|26181
1759|155587
1760|115521
1760|5138
1767|96627
1770|127576
1771|104860
1773|37938
1776|183981
1778|86440
1778|22607
1779|73837
1780|44311
1783|174220
1788|75735
1791|86937
1791|184472
1794|89318
1806|122190
1808|195725
1808|174434
1810|38330
1812|76265
1817|135569
1817|166557
1819|82238
1819|84977
1819|188405
1821|16823
1824|20178
1828|188521
1830|64108
1839|54963
1842|88343
1846|14275
1854|101460
1857|98466
1858|38236
1858|139716
1860|119
1862|39752
1865|183692
1867|164090
1869|90713
1876|35728
1880|41981
1881|33522
1889|128299
1891|123522
1899|37110
1902|100350
1903|180711
1906|117145
1913|156200
1914|56680
1916|134960
1923|32390
1931|170146
1933|178927
1939|115647
1940|84926
1941|194867
1945|23350
1946|58310
1948|151687
1949|159171
1953|155616
1954|145186
1954|94549
1958|178446
1962|103098
1963|108599
1964|195156
1965|22557
1966|31011
1966|86199
1970|135938
1972|132277
1977|22856
1977|3270
1977|132386
1977|47044
1981|154851
1986|28649
1986|165090
1987|87837
1988|117404
1998|60618
2001|184795
2001|37747
2005|125789
1392|197915
2006|124020
2006|141353
2006|156744
2007|3023
2008|153491
2009|164406
2012|171934
2014|103718
2016|152840
2017|91593
2017|176257
2018|80064
2019|168031
2020|97868
2024|184846
2031|136195
2033|171835
2034|115192
2039|27778
2039|93447
2040|17942
2042|17235
2047|185200
2048|99093
2049|199286
2051|81688
2052|122135
2057|69037
2062|81135
2067|53908
2072|123724
2073|103523
2075|125569
2077|103040
2078|18797
2083|74816
2084|95221
2085|185878
2087|58426
2092|120217
2094|173923
2095|183156
2100|116583
2101|82452
2102|187402
2103|177061
2109|147836
2112|74281
2113|117986
2114|93761
1388|69119
2116|81824
2123|149582
2123|80810
2123|63729
2124|23627
2126|107622
2128|191761
2133|170049
2140|91734
2142|145577
2142|51675
2144|167070
2148|164634
2148|25793
2149|20804
2152|20434
2152|564
2153|21432
2153|161615
2160|117987
2162|85765
2169|179980
2170|21860
2183|99902
2183|136269
2187|189290
2187|154072
2187|21762
2189|48233
2192|19544
2192|157387
2196|24850
2196|154747
2197|131937
2199|43448
2202|6294
2204|71156
2204|44874
2206|59853
2206|194274
2209|189071
2209|162698
2213|53711
2214|166755
2219|179121
2222|30860
2223|40731
2225|84381
2226|159357
2228|135111
2230|67075
2230|55313
2231|145440
2237|23106
2238|17532
2239|155972
2240|103799
2241|4356
2250|17295
2256|81859
2257|8779
2261|29971
2264|66788
2268|72922
2269|114891
2277|38250
2279|80158
666|33229
2281|196481
2290|116757
2291|16155
2292|79993
2294|7056
2297|190899
2297|114894
2298|37940
2302|17411
2307|109179
2316|2689
2316|99650
2319|78056
2320|180430
2325|142467
2325|50542
2326|68644
2327|14785
2327|63489
2329|161304
2331|106417
2332|148711
2333|22793
2337|20375
2344|175764
2347|138938
2355|13849
2358|64655
2364|146697
2365|69459
2366|178767
2367|104715
2369|63296
2370|137551
2370|44922
2371|173980
2374|71669
2375|8799
2377|16585
2378|193817
2380|8942
2381|50289
2383|14686
2386|103902
2390|105351
2391|155925
2392|71097
2392|25835
2393|10566
2393|60107
2394|126227
2398|154921
2399|198260
2401|130099
2402|97069
2403|62218
2405|44954
2408|113014
2411|72183
2415|137349
2418|68887
2425|75554
2428|28459
2434|139680
2435|14704
2442|191910
2442|50256
2445|108444
2449|131804
2450|89325
2453|132123
2454|167969
2460|25276
2461|177415
2464|154533
2469|41427
2470|86945
2470|127280
2471|96005
2471|93955
2472|111650
2472|80980
2475|151291
2477|175973
2480|108532
2482|127294
2486|155683
2488|40885
2491|110320
2493|189411
2494|244
2495|170646
2500|102971
2510|24747
2513|120388
2514|13071
2517|146418
2517|60518
2524|120995
2526|166906
2527|13604
2528|5774
2528|39396
2529|124915
2539|182384
2541|54289
2547|71502
2551|164088
2551|30899
2552|70195
2552|112093
2553|151776
2554|187866
2554|197437
2555|87409
2556|172609
2559|156737
2563|146213
2563|17492
2565|2955
2569|16130
2570|141779
2576|166710
2581|26781
2581|174465
2583|25067
2590|156346
2591|89528
2592|175846
2599|108040
2604|187817
2609|54875
2612|1271
2613|161206
2614|179713
2615|49376
1417|137636
2615|136142
2618|149092
2621|25782
2621|161232
2625|193697
2626|82630
2628|100134
2630|17876
2637|98724
2638|109443
2638|40865
2641|21372
2645|40736
2647|176844
2651|20226
2653|31368
2653|165647
2659|172539
2662|112140
2668|107440
2670|192958
2671|128402
2674|38734
2676|104328
2677|165726
2678|55549
2681|108122
2684|135862
2686|14471
2690|120547
2696|184688
2697|144317
2701|67781
2702|10038
2708|67496
2710|135047
2713|164814
2718|88460
2721|1448
2723|158668
2723|128574
2727|151358
2729|131650
2730|162105
2730|52737
2730|18801
2732|135704
2732|109456
2733|194656
2734|94153
2740|168555
2741|62391
2751|194533
2751|80358
2753|85922
2756|58904
2757|123169
2757|185380
2764|41388
2769|54343
2775|98770
2776|45950
2311|52327
2777|1848
2780|59221
2783|77898
2789|110719
2791|43577
2795|192116
2797|5061
2798|117319
2798|81723
2802|106393
2805|116994
2808|128146
2809|141789
2809|184707
2809|100347
2811|183064
2812|123309
2819|27631
2820|45807
2824|93044
2830|36309
2831|164605
2834|8144
2836|76251
2836|88836
2837|88527
2838|183700
2839|988
2840|37899
2841|18025
2841|76091
2844|148437
2849|89506
2861|161078
2863|14236
2866|1360
2868|160934
2868|153349
2886|148914
2893|177047
2896|199020
2900|3710
2901|95641
2903|85411
2909|110982
2913|102383
2913|52411
2914|126280
2915|191283
2923|47854
2927|113427
2929|193645
2931|163332
2932|89319
2933|34118
2935|32905
2936|54158
2939|182100
2940|90454
2941|103221
2942|53192
2943|62668
2946|166914
2947|126380
2948|123145
2948|69353
2950|144876
2951|132741
2951|17292
2954|158241
2957|63741
2958|57241
2959|196175
2962|93441
2967|198786
2970|57053
2971|79806
2972|163308
2972|110327
2975|146010
2977|1197
2982|141616
2983|57713
2983|198655
2986|130744
2988|140406
2988|9401
2989|83645
2990|51830
2991|129002
2992|92672
2997|127722
2997|184437
2997|97407
2998|64988
2999|96549
2999|14317
2999|157984
2999|68311
3000|176287
3001|7489
3009|199215
3010|4050
3012|2445
3012|110656
3018|56655
3021|29080
3022|111936
3023|96400
3024|139525
3026|50593
3033|19763
3035|88879
3040|108990
3042|6417
3043|80656
3043|14672
3044|120651
3047|167533
3048|59622
3052|188648
3054|131083
3057|62202
3062|128937
3067|148832
3068|9178
3070|166355
3071|52090
3072|108471
3073|106625
3074|67600
3076|154853
3077|85980
3077|89982
3081|124861
3085|70530
3095|188523
3098|110283
3101|152027
3108|182169
3112|66764
3112|107129
3112|85106
3114|64517
3114|19017
3116|110023
3117|127824
3119|157640
3120|64422
3121|189836
3123|147837
3136|35510
3142|104306
3143|145205
3144|137506
3144|188767
3145|177442
3145|137497
3148|102200
3148|61362
3153|174446
3153|71151
3154|56011
3158|55309
3159|182392
3161|75864
3162|144283
3163|177177
3168|76590
3169|200098
3169|3278
3169|176559
3175|161634
3178|117909
3181|31410
3181|56211
3182|91800
3186|172107
3188|184445
3190|167606
3194|7714
3196|58304
3197|118503
3203|131435
3204|51281
3206|95619
3211|140683
3213|200165
3213|52019
3217|142253
3230|92646
3232|95927
3242|14138
3244|21266
3245|100862
3249|31305
3251|76558
3254|6047
3255|37812
3255|181734
3259|72386
3260|188794
3261|156929
3261|51453
3268|170522
1687|116479
3270|145811
3280|84426
3280|149435
3284|146996
3286|12568
3286|126831
3288|178843
3288|137621
3289|198042
3289|22593
3290|6813
3290|181774
3293|62477
3294|38284
3295|55896
3306|187519
3308|153227
3308|149952
3310|82102
3318|142082
3321|90087
3326|34351
3328|57760
3330|20612
3331|35943
3344|166340
3345|26744
3350|77102
3352|141465
3354|135242
3360|170147
3371|52607
3377|163980
3378|70756
3378|30554
3379|11185
3381|115924
3387|153578
3390|96054
3397|171553
3397|39112
3398|44806
3402|165046
3405|1446
3407|198021
3409|15386
3409|124154
3411|68173
3414|140269
3414|182273
3415|76475
3417|23300
3417|17706
3418|107450
3418|179638
3421|106958
3421|82400
852|43657
3423|34655
3427|24895
3427|165339
3428|9471
3430|46887
3430|138412
3432|200117
3432|6860
3433|139317
3433|7471
3436|42098
3442|73357
3447|85022
3449|189056
3459|66121
3460|18786
3462|200155
3462|15438
3463|48846
3463|182891
3467|197473
3467|25098
3469|91008
3473|76489
3480|76740
3482|109765
3482|136104
3489|77869
3491|44365
3492|52885
3495|18214
3495|139345
3496|82566
3498|150945
3502|196332
3502|166349
3506|112586
3513|69596
3514|44601
3515|198519
3517|29916
3519|110375
3519|83692
3521|75304
3522|142164
3523|158054
3524|167772
3526|55339
3527|164692
3537|71833
3538|53159
3542|170481
3542|60966
3549|8493
3553|119427
3555|154132
3558|72253
3559|88615
3565|189062
3568|93500
3574|60596
3579|38929
3579|192991
3581|70445
3581|67161
3584|123273
3585|193302
3589|122981
3589|97159
3592|189646
1886|116246
3592|89420
3598|187704
3599|85706
3603|43063
3604|174525
3605|102285
3608|129455
3610|199287
3611|32909
3611|15117
3617|39076
3619|67763
3620|53098
3620|89804
3622|100146
3622|103802
3626|64495
3628|105835
3636|33761
3639|49549
3643|115627
3644|29845
3649|86914
3652|64365
3653|77205
3654|29093
3657|175907
3657|19634
3658|176539
3663|171851
3665|173432
3667|185989
3668|179954
3670|71072
3670|59794
3674|67739
3676|53615
3677|950
3680|140669
3680|100789
3681|166541
3684|93335
3689|197115
3690|112150
3693|55624
3693|149957
3695|84104
3697|69185
3697|98394
3697|132213
3699|93228
3700|158932
3703|97144
3706|128944
3708|127459
3711|103722
3712|52016
3719|42459
3724|44929
3727|110273
3728|161157
3729|80716
3734|100419
3735|79176
3736|94298
3737|103461
3741|155256
3741|67457
3742|175428
3744|95042
3747|75661
3749|73461
3749|36653
3752|94441
3754|65690
3756|113944
3759|110904
3762|47339
3766|142835
3767|83714
3774|182684
3775|70489
3776|191499
3778|185304
3779|173060
3779|105557
3785|179487
3788|193013
3789|136943
3790|26234
3791|113028
3793|107262
3799|47305
3802|27142
3803|108832
3805|145120
3810|156408
3814|178706
3816|59647
3817|58622
3819|153866
3821|195413
3822|134888
3825|171099
3825|27366
3826|130776
3828|15604
3829|126188
3830|55504
3836|146044
3839|135833
3842|24941
3842|108435
3843|199800
3844|626
3847|3022
3850|113393
3856|119740
3857|177930
3857|5467
3859|113786
3862|18255
3870|147298
3872|31985
3877|62617
3878|134399
3880|137642
3881|161143
3883|37544
2003|30543
3888|34327
3888|132274
3901|39417
3901|136184
3905|79048
3906|199151
3908|149452
3909|150931
3913|62570
3913|188417
3917|198441
3920|136316
3921|129806
3926|186851
3928|100363
2347|145311
3931|98407
3935|39297
3937|142529
3939|111559
3940|27613
3942|112561
3949|33398
3952|39994
3955|69762
3956|49987
3960|26780
3962|137292
3971|199488
3972|119359
3972|88344
3982|3843
3984|136758
3985|190850
3989|75322
3991|117711
3993|78285
4001|132926
4001|135780
4006|176655
4007|22914
4008|157633
4011|148590
4012|168697
4018|91524
4020|90218
4021|107395
4022|40580
4023|198233
4024|47071
3186|36175
4033|199006
4041|184402
4042|151298
4044|179382
4055|36959
4056|64100
1754|159580
4060|161792
4061|97437
4061|37023
4062|36751
4065|156141
4066|62494
4072|50014
4073|182957
4073|163572
4077|126903
4078|170227
4078|7218
4086|185167
4090|75478
4097|93073
4098|79957
4102|19157
4102|62280
4102|136986
4102|199384
4113|59438
4121|149451
4121|107933
4122|155418
4126|112202
4136|168957
4139|183761
4151|77207
4154|123271
4166|89123
4168|159813
4169|2948
4169|73117
4181|176397
4183|72235
4186|41553
4187|51659
4188|92449
4189|149563
4196|101263
4210|146593
4212|162404
4218|14476
4219|2905
4221|170547
4222|160755
4223|18535
4229|163948
4230|161659
4231|78060
4235|84163
4239|23477
4244|11429
4245|170117
4247|90817
4251|54116
4254|112817
4256|123782
4259|4337
4259|109553
4259|87308
4260|18494
4261|93703
4264|57719
4265|35078
4265|108841
4267|3558
4267|29396
4268|11776
4271|138752
4271|147067
4272|27960
1370|42517
4273|59669
4273|124030
4276|176052
4280|53614
4280|150250
4280|71792
4281|67750
4284|82969
4284|142927
4291|26199
4300|170295
4214|5086
4300|100658
4302|9537
4316|169414
4331|38577
4334|186820
4336|119834
4337|145226
4339|17882
4342|94661
4343|150233
4343|73974
4343|166060
4344|150557
4350|183954
4354|148256
4355|111078
4355|20857
4358|195423
4365|174
4365|54490
4369|114769
4369|116457
4370|65082
4374|6842
4376|48672
4376|19771
4376|121861
4378|176295
4382|26814
4382|131970
4384|164438
4385|190552
4386|10748
4389|185150
4393|185017
4394|133724
4397|9771
4405|95555
4405|80304
4406|105828
4407|5872
4408|69035
4411|144203
4411|46582
4412|111325
4418|28606
4420|83028
4420|120904
4421|126265
4422|46438
4423|378
4427|60495
4428|27571
4429|31380
4441|92132
4447|33403
4450|48048
4451|177622
4452|34058
4452|123886
4454|76473
4458|125561
4463|198065
4463|146566
4464|29194
4467|194558
4469|39509
4470|161298
4472|77821
4479|168915
4482|153516
4482|49739
1936|143643
4486|34102
4487|164170
4488|110052
4494|72213
4494|177421
4494|88120
4497|91339
4499|51003
4125|124216
4502|72410
4510|9604
4510|189918
4513|74116
4514|38595
4514|155334
4514|146134
4515|115482
4515|76666
4519|116909
4521|90680
4521|154565
4522|187230
4522|98651
4523|75938
4524|74910
4529|19813
4536|176588
4539|68918
4540|147633
4542|153521
4548|149130
4548|35430
4555|112088
3814|72676
4559|96045
4561|23722
4565|169380
2050|170886
4568|55001
4579|53634
4584|133780
4586|139710
4590|31716
4593|104643
4593|8879
4596|105359
4597|114890
4598|90132
4599|131705
4600|67282
4600|75801
3427|178133
4600|180827
4602|115539
4602|111979
4608|73797
4608|97263
4610|34471
4612|90762
4615|134144
4619|190318
4623|83009
4628|180462
4634|142204
4640|73202
4652|125420
4656|99904
4658|157976
