Person|Comment|creationDate
2|128001|1996-06-06 03:26:21
2|89501|1998-05-15 05:47:11
2|152374|1976-11-14 23:58:02
4|198898|2000-11-01 02:10:47
4|158264|1995-10-15 12:23:04
4|68797|2004-10-12 15:19:04
5|81102|2004-06-29 10:06:55
7|162270|1979-12-26 08:30:33
9|104099|1989-11-26 13:12:17
11|155265|1966-07-05 22:51:08
11|188902|1968-04-24 22:13:37
11|84757|1962-03-25 08:38:58
12|115160|2000-02-03 22:20:50
12|128782|1960-12-16 05:39:40
14|89862|1970-03-12 05:53:17
14|126558|1993-05-28 02:40:25
14|97794|1995-08-13 15:59:36
15|83459|2007-08-03 23:56:30
15|159343|1998-01-09 09:01:08
15|183206|1997-02-13 14:06:21
18|79005|1999-05-29 03:14:34
18|63142|1977-05-01 02:59:11
20|164340|1999-09-17 08:09:53
21|39438|1997-11-16 10:23:22
22|155228|1990-10-04 18:14:07
26|151296|1960-12-13 09:27:09
26|99059|1989-04-07 04:30:43
27|8971|1998-12-12 18:25:01
29|12468|1966-07-10 01:51:49
29|53141|1969-07-06 19:31:43
31|169182|1996-11-27 09:21:41
32|54236|1995-01-12 23:38:56
33|99143|1961-06-10 23:33:32
34|47410|1986-09-23 23:16:25
35|181309|1965-03-15 05:37:39
36|151445|1997-10-02 11:28:05
36|65201|1969-06-26 22:11:47
37|200275|1962-08-03 13:21:43
37|31648|1994-10-28 07:16:44
38|102966|1974-02-18 23:06:04
38|140798|2001-11-14 03:24:57
39|41533|1969-05-14 03:46:08
41|173439|1990-07-29 17:46:57
41|166668|1995-11-22 18:37:11
42|111208|1978-02-14 12:23:32
43|70122|1988-12-28 10:08:21
44|128989|1978-03-23 23:49:52
44|170656|1998-02-22 12:24:20
46|63283|1976-12-05 02:01:13
47|56692|2001-07-08 04:48:57
47|98221|1973-02-04 23:02:16
48|187049|1979-04-06 16:17:46
48|35932|1967-01-24 00:57:33
48|181987|1968-03-04 03:39:20
49|145496|1993-04-27 21:17:53
49|41521|2003-06-02 20:11:43
49|101774|1996-05-12 00:58:49
51|441|2002-08-15 13:03:05
52|142010|1966-01-10 13:12:48
57|142184|1962-12-11 12:18:18
57|180837|2006-07-16 03:52:33
60|33277|1968-04-16 08:48:25
60|81982|1971-10-01 12:15:02
60|93247|1975-03-07 10:23:53
61|64996|2006-03-20 06:09:57
64|56449|1985-10-13 03:23:13
66|189750|1973-04-29 19:27:39
66|12327|1976-02-22 07:47:49
66|119966|1964-10-24 07:48:19
67|24552|1972-02-28 18:53:42
67|20430|1982-10-11 09:40:05
68|167453|1967-11-26 13:15:57
71|133673|1976-03-06 17:46:42
72|113810|1973-08-03 16:01:31
73|23700|1989-07-03 03:17:55
74|180047|1964-05-18 07:56:13
74|25646|1991-02-05 05:23:17
75|200156|1995-04-12 20:30:27
77|19572|1984-09-03 18:40:55
79|94105|1973-05-28 02:40:37
79|183894|1966-07-06 03:49:55
79|46884|1979-09-29 13:20:51
80|40782|1977-02-07 10:38:08
80|42748|2002-07-01 01:07:02
80|153214|2008-03-20 15:41:38
83|173572|2008-02-26 15:09:52
84|41530|1960-09-30 08:03:38
85|22274|1967-07-07 00:08:54
87|188155|1999-09-05 11:47:42
89|54692|1986-06-15 22:57:52
90|30721|1972-03-30 21:18:16
90|45298|1965-11-09 06:47:05
90|68589|1994-08-26 01:38:22
90|160466|2004-04-27 14:15:32
90|30570|2007-04-18 19:30:29
92|55362|2000-06-24 16:50:10
93|26748|1983-02-07 21:03:51
94|144067|1976-07-23 20:34:59
94|9643|1971-04-15 17:21:29
97|72650|1971-05-21 14:19:57
98|123359|2005-01-10 00:06:51
101|19741|1982-08-11 05:56:26
101|173668|1982-02-10 20:00:46
101|167029|1972-11-14 11:00:49
102|31228|1983-03-22 14:14:32
103|131096|1974-03-17 02:29:16
106|125297|2003-12-24 15:52:36
107|100610|1994-02-20 09:31:14
109|101552|2002-02-06 05:13:06
109|35849|1995-04-27 00:55:03
110|10043|1984-11-09 03:30:50
111|178036|1996-12-14 23:00:57
111|167892|1966-07-20 11:39:45
113|82892|1975-12-01 13:16:09
114|2534|1987-11-18 02:33:40
115|131374|1984-05-23 00:58:11
116|31048|1981-02-14 15:11:29
116|54106|1972-12-19 00:52:19
118|82620|1985-02-14 00:37:25
120|50341|1990-07-02 18:24:11
120|179230|1994-05-12 16:55:52
121|105628|1977-06-27 18:19:16
121|20217|1971-07-19 23:41:25
122|173027|2008-01-27 04:23:22
124|116312|1985-05-13 07:30:08
124|200171|1977-05-20 16:09:48
125|199557|1964-11-30 10:56:12
127|106255|1989-04-07 10:30:02
128|158798|1968-12-03 11:28:10
128|83633|2002-09-21 07:40:42
130|76679|1974-04-19 00:51:46
130|127458|1984-08-27 23:48:14
130|5938|1985-05-16 12:21:15
132|149185|1998-07-31 10:21:02
132|47690|1995-05-02 06:11:12
132|116473|1961-04-30 12:24:05
134|127187|1994-04-02 15:26:45
134|9760|1962-12-22 01:51:38
136|197855|2001-11-22 02:17:50
138|186386|1999-01-01 06:20:10
139|123600|1994-04-19 01:30:09
139|85225|1961-12-30 23:14:23
142|24403|1967-01-19 16:12:06
143|141592|1983-04-08 14:54:50
145|68948|1989-12-06 18:47:46
147|25123|1971-11-04 23:01:43
148|59750|2006-04-05 00:02:26
149|49909|1978-01-22 02:12:48
150|185413|1977-11-21 05:04:29
152|38862|1971-01-28 00:09:11
156|110409|1994-07-24 14:20:57
156|172207|1979-01-02 06:34:12
156|121636|2003-03-08 02:18:37
157|110596|1962-11-09 07:06:34
157|170988|1990-06-02 14:16:44
158|11625|1961-10-12 14:14:53
160|135583|2003-10-12 22:28:11
161|51922|1961-11-22 15:41:15
161|193750|1982-04-28 20:24:51
161|104817|1986-05-10 01:01:30
162|167730|1985-03-19 04:51:35
163|27364|2002-08-31 03:51:20
163|175212|1983-02-01 02:52:55
167|187303|1999-09-28 03:09:50
167|137769|1974-10-25 02:22:05
167|120815|1980-10-20 14:49:53
171|24125|1998-06-17 12:23:13
171|5231|1961-10-02 11:24:06
171|62097|1967-04-01 03:19:31
172|91835|1967-02-15 19:35:31
173|142116|1977-09-22 12:48:27
176|34147|1989-02-12 01:59:20
176|56469|1999-04-26 14:06:33
176|140569|1978-06-05 11:36:09
177|187872|2002-05-28 20:03:41
177|139412|1997-02-07 10:24:29
178|116425|1995-12-20 09:09:44
180|77349|1994-10-26 08:15:39
181|173783|1961-07-20 07:11:49
182|28061|1980-08-19 13:52:11
182|190541|1992-05-10 16:57:22
185|188281|2003-06-04 03:02:21
188|12046|1972-01-16 17:19:16
189|153276|2004-07-13 07:51:23
191|199354|1994-12-27 04:02:29
192|105870|1973-08-15 16:47:07
193|65942|1986-07-20 10:09:56
193|143053|1974-05-11 16:03:38
195|8794|1980-09-19 14:32:43
169|158484|1977-01-04 22:45:32
196|194665|2003-09-04 02:44:12
196|55764|1978-12-17 22:37:10
196|2767|1993-02-20 05:55:08
196|99010|1987-11-11 01:57:26
196|45884|1966-09-22 06:18:51
197|141046|1979-06-24 15:42:41
197|162466|1993-10-02 08:00:58
198|40739|1989-06-09 07:24:05
198|166232|1974-01-21 18:17:02
199|108137|2003-04-17 08:06:33
199|88828|1980-03-23 09:02:43
200|18730|1975-02-17 17:07:49
200|140417|2008-04-23 19:18:56
201|67467|1996-06-28 01:08:49
202|73830|1969-03-22 11:39:51
203|139858|1979-11-01 22:42:03
203|162750|1996-04-06 19:18:27
204|103011|1968-08-19 01:38:43
204|26195|1974-08-24 07:27:15
204|176829|1985-04-28 02:46:38
207|114213|1977-08-23 03:37:27
208|69153|2007-05-12 08:47:46
210|173936|1979-03-04 05:28:25
210|3206|2006-04-17 05:04:12
211|106098|1963-09-09 12:11:10
212|753|1999-05-25 21:47:45
212|33316|1978-06-04 11:37:12
212|7225|1977-05-07 08:58:55
213|188294|1965-11-02 13:19:50
213|168498|1970-12-03 06:41:18
214|70558|1985-02-10 22:43:56
215|192625|1971-06-11 18:42:29
216|145293|1987-01-14 23:13:42
217|160211|2000-11-14 23:16:39
217|102738|1988-06-09 12:02:11
219|51218|1972-05-27 09:36:09
222|165472|2001-09-19 14:14:25
223|194878|1983-09-11 07:29:43
224|68963|2001-04-26 09:50:22
225|121070|1982-04-28 03:42:16
225|131810|1961-12-07 04:21:17
227|58514|1982-05-08 15:50:50
227|170504|1992-12-10 11:39:09
228|147462|1996-09-09 00:04:20
228|56488|1993-07-10 16:08:21
230|36234|1996-07-29 19:59:02
230|50588|1965-07-06 12:44:32
230|33380|1972-08-01 09:55:21
230|84152|1966-12-03 05:57:42
231|71311|1970-03-05 08:33:58
233|142286|1983-03-21 06:22:10
234|180389|1967-07-23 08:38:52
235|135538|2004-10-07 06:10:55
235|88619|1996-07-18 04:08:02
237|104850|1976-05-17 04:14:29
237|177089|1994-03-14 21:23:29
241|37474|1998-11-25 21:28:16
241|89005|1964-09-04 17:13:11
241|94441|1970-08-15 00:47:57
242|108878|1996-01-07 04:44:34
243|71477|1960-09-16 17:54:51
243|145977|1996-10-18 14:24:31
243|192268|1970-06-04 06:10:41
244|103291|1967-05-17 10:29:28
244|146014|1960-09-05 21:03:20
248|109854|1973-03-06 08:13:12
249|50032|1968-12-17 23:53:31
249|87097|1974-06-13 13:19:55
250|35005|1970-11-08 11:19:19
250|83717|1985-10-07 10:50:51
251|107208|1967-12-04 00:37:41
251|182959|1985-05-11 21:07:11
253|9109|1973-06-24 22:30:35
254|180203|1968-01-06 03:20:10
255|127853|2006-07-10 01:25:53
256|17583|1991-11-20 05:28:16
98|7009|1988-09-15 15:30:56
258|9256|1983-12-26 18:10:17
259|179717|2006-10-10 05:30:30
260|14574|1994-12-28 16:46:08
260|124042|1983-12-22 12:21:46
260|26224|1986-10-31 11:03:55
261|84413|1991-12-24 17:09:07
261|79676|1972-04-02 21:52:27
264|174628|1991-01-14 20:53:02
265|180894|1974-03-27 03:49:09
267|11991|1972-04-04 05:24:16
267|73862|1972-06-21 06:53:19
271|91021|1994-08-15 22:53:55
277|182304|1983-07-15 23:03:45
278|180998|1972-04-02 08:16:28
278|18841|1988-08-06 07:04:01
278|82058|1976-03-25 05:51:04
280|198593|1989-07-20 14:37:20
281|158042|1982-04-19 03:42:39
281|14207|1982-12-15 08:04:04
282|193282|1961-04-09 15:39:10
282|42146|2004-07-10 01:19:59
283|111101|1980-11-25 18:41:17
285|81050|1979-10-23 12:48:04
287|192254|1993-01-12 08:35:17
287|186219|2005-02-27 09:26:11
287|70967|2008-09-05 18:56:26
287|133391|1979-02-02 14:02:08
288|163781|1991-10-25 16:22:14
289|17037|1965-03-20 19:05:49
289|6594|1995-05-05 20:53:24
290|90346|1969-01-02 06:51:20
293|90785|1974-09-15 06:48:45
295|108685|1964-11-16 11:14:27
300|173839|1996-12-29 06:10:14
300|125244|1995-12-05 03:05:08
303|189912|1995-06-23 08:43:43
303|91363|1971-01-01 22:13:47
304|69557|1970-11-14 21:10:17
304|966|1990-05-23 11:20:32
306|4470|1974-05-28 12:40:00
307|89940|2004-10-30 21:09:27
307|184243|1996-03-29 16:40:53
307|193121|1992-09-26 11:08:17
308|8267|2001-04-30 06:04:37
309|63457|2003-12-14 21:46:00
309|77661|2002-08-28 05:29:56
309|21236|1964-05-06 04:36:58
310|97162|1998-08-06 11:29:04
310|175903|1961-06-04 18:43:29
311|55983|1963-07-10 00:57:01
312|33012|2005-07-20 18:12:20
313|164038|1968-11-12 05:15:31
313|80959|1972-05-18 22:11:08
313|112013|2008-10-20 11:27:30
