Person|Post|creationDate
0|7772|1995-04-12 11:51:52
1|86438|1963-05-07 19:52:15
3|82646|1965-01-14 18:03:53
5|32171|1978-06-19 13:56:16
5|78207|1980-10-22 11:03:41
5|92720|1995-10-12 06:19:55
6|90667|1973-06-30 00:41:09
8|6876|1992-10-27 09:38:33
9|90348|1967-05-31 03:03:37
10|6723|1978-09-12 17:39:28
12|45372|1968-11-04 16:32:19
13|48430|1962-01-30 18:01:42
13|19238|1973-01-07 13:06:28
14|34516|1994-09-01 21:53:56
17|63392|1968-12-30 22:38:11
19|69173|1988-10-05 16:44:10
20|93562|2005-07-02 03:59:22
21|54525|1993-05-16 01:30:01
22|88570|2007-10-18 15:05:25
25|7214|2008-10-13 18:27:13
25|94196|1966-07-13 18:12:59
27|98946|1968-12-02 01:42:16
28|84931|1963-04-01 13:19:33
29|47030|1973-02-28 10:07:48
29|23678|1998-03-12 19:23:38
30|29|1991-09-03 02:37:31
30|94453|1967-02-13 20:04:48
31|31330|2003-02-02 12:52:45
33|64140|2008-10-28 00:12:24
33|57601|1987-04-14 09:32:20
36|62518|1987-12-23 23:44:03
36|43415|1988-11-28 04:04:09
36|86954|1992-08-30 11:26:07
38|34117|2004-07-20 20:46:56
39|22137|1975-01-19 16:36:15
39|31316|1985-04-13 15:21:20
40|60559|1991-09-02 00:25:58
42|80133|2008-06-17 19:19:16
45|49959|1963-10-19 05:35:05
45|1513|1987-05-17 10:26:07
47|50835|1975-12-14 17:38:15
47|77959|1976-02-19 16:36:32
49|15215|2005-04-20 10:24:30
50|28353|1996-08-18 09:53:56
51|48193|1994-07-10 07:51:55
52|28574|1997-09-06 04:17:24
53|69874|1962-11-02 15:18:07
53|42387|1977-10-15 01:30:50
54|81558|1997-02-04 10:48:50
29|37298|1983-10-05 10:10:16
54|44347|2001-01-28 22:25:46
54|72661|2006-08-01 16:25:05
55|37121|1985-12-24 14:55:32
58|69954|1991-10-02 14:47:08
60|21492|2004-06-07 20:56:04
61|29014|1960-01-24 00:36:00
61|12455|1979-05-18 22:23:03
63|61533|1970-09-11 08:41:25
65|75763|1961-03-14 08:11:40
66|5562|1981-06-06 03:01:49
67|65831|1993-06-07 11:49:47
67|35175|1998-08-18 01:12:37
67|77040|2003-07-21 04:55:30
67|69601|1967-12-03 01:16:27
68|12362|1983-04-18 21:44:07
69|54090|2004-08-11 22:14:29
71|74627|1962-09-22 16:25:45
16|75265|1967-01-28 02:18:58
71|68209|2001-05-08 04:08:13
73|96891|1988-05-15 09:00:34
73|8550|1994-06-05 12:09:50
73|87628|2007-10-24 23:48:02
74|65487|1988-06-05 14:22:16
74|47140|1967-04-16 17:29:59
77|76411|1987-06-10 13:36:06
77|66786|2005-02-13 23:18:59
77|68596|2000-01-25 14:17:36
78|35790|1983-03-03 19:07:34
81|2318|1989-03-19 08:42:22
81|44189|1960-04-09 12:48:44
