Person|University|classYear
1|24|1982
1|14|1975
2|54|1966
2|58|1968
2|59|1987
3|49|2002
5|39|1987
5|7|2000
5|13|1985
5|40|1973
7|11|1971
8|9|1989
9|36|1973
10|17|1975
10|32|1973
10|61|1967
11|44|1981
12|45|1994
12|52|1984
13|56|1998
14|42|1970
17|29|1999
20|53|2000
20|51|1962
21|12|1974
22|60|2004
22|6|1970
23|4|1990
23|12|1994
24|35|1980
24|12|1989
28|38|1998
28|12|1985
29|12|1967
30|21|1991
30|23|1995
30|27|1984
31|12|1979
33|12|1992
35|5|2005
35|12|2001
37|57|1984
38|12|2004
40|50|1999
40|12|2000
41|12|1965
44|12|1994
44|60|1974
46|12|1980
47|60|2005
48|12|1989
51|60|1969
51|19|2000
52|60|2007
53|60|1995
55|36|2003
55|60|1995
55|12|1980
56|12|1990
56|19|1962
57|12|1964
57|36|1999
58|12|1968
58|24|2003
58|60|1981
61|24|1978
62|60|2002
62|19|1972
63|36|1995
64|24|1983
65|12|2007
66|19|1966
67|60|1968
68|36|1990
68|24|1990
72|19|2007
72|9|2001
73|60|1968
74|48|1988
74|60|2006
74|19|1981
76|12|1993
78|48|1981
78|60|1988
79|12|1989
80|19|1975
81|36|1987
81|60|1999
81|8|1967
82|24|1970
84|48|1963
85|5|1998
85|12|1965
86|19|2004
88|60|1963
88|24|1983
88|19|1981
89|58|1999
91|60|2004
92|24|2005
93|48|1986
93|60|1995
93|11|1994
96|19|1977
97|8|1987
97|56|1996
97|60|1971
98|48|1994
99|24|2001
99|60|1993
101|19|1974
101|11|1968
103|12|1968
103|36|1998
103|24|2001
104|12|1990
106|56|1986
106|12|1978
107|19|1969
107|8|2007
107|5|1963
108|11|1995
108|48|2004
110|48|1993
110|58|1999
112|52|1964
112|56|1980
113|12|1981
114|48|1982
114|9|2007
115|58|1992
117|24|1966
121|52|1968
122|12|1986
124|11|1971
128|48|1984
129|11|1968
129|12|1964
129|9|2001
130|24|1980
132|36|2004
134|5|2006
135|56|2001
135|36|1994
135|58|1984
137|52|1969
137|58|1992
138|52|1988
138|36|1984
140|60|2007
143|56|1987
144|60|1992
144|56|1989
145|60|1985
147|12|1995
148|56|1988
150|19|1962
154|8|1962
157|48|1962
157|46|1994
157|5|1997
158|36|1991
158|58|1997
159|56|1974
160|11|1962
160|9|2002
161|19|1960
163|26|1980
163|8|1982
163|46|1979
164|24|1992
167|48|2007
168|60|1972
169|46|1987
169|24|1979
169|36|1992
169|56|1999
169|19|2002
170|9|1962
170|52|1988
171|24|2005
171|59|1963
172|36|1964
172|46|1994
173|31|2003
173|9|1974
174|26|1995
174|19|1987
175|11|1993
175|8|2002
176|59|2006
177|52|1996
179|48|1962
180|36|1985
180|26|1984
181|8|1962
181|19|1965
182|56|1983
182|9|1990
182|48|1980
184|19|1989
184|31|2006
185|60|1990
186|48|2005
188|58|1991
189|48|1974
190|24|1975
191|31|1996
191|48|1964
191|24|1996
193|60|1973
194|60|1988
195|8|2003
195|31|1960
196|5|1991
197|5|1968
198|36|1997
200|45|2006
200|57|1981
200|60|1994
200|59|2005
202|48|1995
204|56|1975
204|11|1992
205|56|1981
205|26|1992
205|9|1962
207|9|1974
207|36|1992
208|26|1970
209|8|2003
210|19|1971
210|46|2005
210|5|1980
210|8|1965
212|31|1982
212|38|1964
213|9|2006
213|24|1991
213|36|1996
214|45|1968
215|31|1994
215|26|1991
216|57|1962
216|12|1990
217|48|1982
217|19|1997
218|56|1972
220|15|1987
221|59|1992
221|56|1970
222|12|1980
224|45|1974
225|36|1980
226|36|1993
226|35|1963
226|26|2006
229|31|1998
232|59|1977
233|15|1962
234|48|1992
234|60|1995
234|26|1991
235|58|1984
235|8|1986
237|60|2007
238|5|1979
238|15|1991
238|57|1999
239|15|1985
239|38|1985
243|24|1975
244|58|1986
247|58|1964
249|52|1978
249|60|1960
26|12|1964
251|47|1963
252|11|1980
252|60|1973
254|5|1970
256|48|1974
259|5|2002
260|56|1962
261|60|1993
262|33|1994
262|47|1986
265|9|2006
266|60|1964
267|33|1964
267|48|1963
267|11|1998
268|15|1980
269|52|1974
269|35|1963
273|36|1967
273|52|1989
274|12|1983
274|48|1978
275|5|1964
275|47|1967
279|11|2001
281|31|1964
282|9|1994
120|11|2006
282|26|1987
283|60|1970
284|24|1963
285|62|1971
285|19|1990
286|26|2002
286|15|1974
287|62|1978
289|38|1962
290|9|1991
291|58|2001
291|57|1967
293|62|1969
293|15|1969
294|8|1993
294|36|1970
295|45|2004
295|36|1973
297|38|2006
297|35|1966
136|58|1962
297|33|1970
297|9|1962
298|28|2007
299|38|1968
299|35|1997
305|36|1999
305|28|1960
306|31|1980
307|28|1960
307|52|1997
308|36|1968
72|36|1996
308|35|2006
308|33|2000
308|19|1982
309|60|1975
309|57|1979
309|36|1995
309|48|1967
311|9|2003
312|38|2006
313|45|1974
314|56|2004
315|31|1982
317|31|1967
317|56|2000
318|24|1968
318|19|1979
318|60|1967
318|52|1998
318|35|1968
320|24|1966
321|38|2002
322|60|1963
322|11|1990
322|15|1974
325|12|1991
326|57|1992
327|52|2007
327|48|2007
327|4|2003
328|19|1979
328|58|1976
329|35|1985
329|60|1972
331|56|1999
331|15|1978
331|33|1977
332|22|1978
333|59|1974
334|9|1983
336|6|2003
337|28|1983
338|26|1981
338|8|1963
339|52|2003
339|5|1965
339|28|2002
339|60|1992
340|56|1982
342|46|1965
345|26|1981
346|8|1995
346|45|1972
347|33|2004
349|24|1960
349|47|1992
351|11|2002
351|47|1969
352|58|1965
352|46|1986
353|58|2006
354|60|1981
355|56|1975
356|0|1977
357|58|1987
358|28|1965
359|12|1978
360|5|2006
362|15|1973
362|22|1990
364|26|1975
366|33|1996
367|56|1971
367|8|1999
369|33|1969
370|4|1993
373|9|1978
373|24|1985
373|47|1962
373|33|1979
374|4|1973
374|56|1980
375|24|1963
376|26|1980
379|11|1967
380|8|2000
381|19|1986
383|19|1989
384|62|2004
385|59|1989
388|15|1996
389|12|1969
390|46|1966
391|47|1973
391|62|1960
392|31|1963
396|48|2001
396|31|1996
396|47|2002
397|46|1984
400|59|1984
401|31|2004
403|35|1965
404|6|2007
405|28|1979
406|38|2001
407|4|1980
407|58|1978
407|0|1987
408|38|1987
409|0|2004
409|26|2003
411|38|1981
412|27|1987
414|56|1996
414|58|1993
415|48|2003
415|24|1964
416|46|2001
418|22|1994
418|9|1980
419|28|1967
131|52|1960
419|45|1966
422|36|1979
423|28|1977
426|48|1963
427|4|1961
161|5|1992
428|4|1994
430|24|1986
430|6|1998
431|36|1972
431|26|1960
432|0|1998
432|28|2006
432|56|1967
432|12|1983
433|24|1999
433|56|1961
435|31|1968
436|6|1971
436|15|1997
436|26|2005
436|62|1964
439|26|2005
439|6|1985
441|26|1987
442|22|1994
443|42|1978
445|48|1989
446|24|1966
448|28|1995
451|11|1971
452|35|1984
452|11|1963
453|42|1968
453|46|1983
454|35|1968
455|26|1983
456|4|1978
456|60|1986
458|62|1976
458|45|1992
459|57|1964
460|27|1976
462|35|1964
464|0|1977
464|36|1975
464|57|1968
465|24|1986
466|0|1976
466|60|1983
467|59|1998
469|47|1963
471|56|1991
396|46|1963
471|5|1962
473|57|2002
473|24|1973
474|42|1995
479|4|1993
481|58|1963
483|48|1964
483|47|1982
483|4|1985
484|11|1973
485|47|1983
491|48|1972
493|62|1986
493|52|1992
494|12|1986
497|57|1975
497|48|1971
329|56|1981
