Person|Company|workFrom
0|1|1974
0|9|1995
1|9|1981
3|9|1961
4|1|1997
5|9|1997
5|1|1990
7|9|1972
10|9|1984
12|9|1975
12|1|2004
15|9|1988
15|1|1994
17|1|1995
20|1|1991
22|1|2006
22|9|1988
23|1|1977
23|9|1978
24|1|1970
24|9|1966
25|9|1992
26|1|1964
26|9|1966
30|1|1996
30|9|2003
32|1|1988
34|9|1987
35|1|2004
39|9|1977
41|9|2007
41|1|1976
42|1|1978
44|1|2004
46|1|1976
48|1|1995
50|12|1977
50|6|1979
50|9|1979
50|1|1965
53|1|1961
54|1|2000
55|1|2006
56|8|1990
56|9|1960
56|1|1962
60|9|2002
60|1|1983
62|13|1963
1|1|1994
62|11|1971
62|1|1970
62|9|1984
63|9|1965
63|1|2004
64|1|1960
66|6|2000
67|6|1997
69|6|2004
70|1|1967
70|9|2005
71|6|1991
71|1|1983
72|9|1978
72|1|1983
76|1|2006
78|8|1973
79|9|1984
80|6|1991
80|9|1972
80|8|1971
81|1|1976
81|8|1999
82|9|1999
82|6|1968
83|8|2007
83|1|2002
83|9|1977
84|6|1978
85|6|1978
85|9|2002
9|1|2003
86|9|2000
87|8|1984
88|1|1962
89|9|1965
89|1|1997
89|6|2007
90|9|2001
90|8|2000
91|8|1995
92|8|1967
92|6|1987
92|1|1979
93|8|1969
93|9|1985
97|7|1996
97|14|1988
97|8|1964
97|6|1982
98|1|1982
100|9|1983
100|8|1970
105|9|1974
108|9|1984
108|8|1979
110|6|2005
110|8|1982
111|8|1963
112|8|2005
112|9|1982
112|1|1986
114|9|1981
115|1|2003
116|1|1981
116|6|1994
120|5|1978
121|4|2000
121|10|1984
121|9|1996
121|5|1961
124|5|1969
126|1|1967
127|9|2006
127|1|1999
128|8|1981
129|1|1971
129|9|1975
129|8|1973
130|8|2006
130|5|1969
130|1|1979
130|6|1982
131|9|1993
135|8|1964
138|8|1986
141|1|1963
141|6|1969
141|5|1970
142|1|1995
142|5|1972
142|8|1970
143|6|1976
143|9|1964
144|1|1965
144|6|1981
