id|id|name|url
0|0|Raichur|http://WTCRsbpywIRaichur
1|1|Thane|http://IvUXRKAzWgThane
2|2|Rewari|http://MiozfRewari
3|3|Jiaganj_Azimganj|http://ReAnxeJiaganj_Azimganj
4|4|Baharampur|http://SGyQeBaharampur
5|5|Rewari|http://jndfmvSmWRewari
6|6|Jiaganj_Azimganj|http://SzcAQbHKUOmkJiaganj_Azimganj
7|7|Pondicherry|http://RQdzOVdwhsPondicherry
8|8|Baharampur|http://MexeQvuKvBaharampur
9|9|Moga|http://mnaWZMoga
10|10|Jiaganj_Azimganj|http://kMHvFzZEqWJJiaganj_Azimganj
11|11|Pondicherry|http://DCoQPondicherry
12|12|Pondicherry|http://NWZltjIPondicherry
