Comment|Person
171|5632
239|5
257|1502
300|3615
315|1304
334|1638
450|2406
461|7843
518|6666
518|5064
537|5682
543|3772
576|4993
582|7019
588|6288
598|2319
687|5896
705|2638
745|2688
804|6371
849|2167
853|8670
907|9736
923|2246
961|4334
1026|9516
1088|7287
1158|9669
1164|3267
1166|2301
1235|4208
1298|2271
1301|3632
1321|8020
1617|1370
1652|8034
1757|93
1790|5454
2018|9621
2072|6954
2100|1202
2275|8397
2348|1695
2371|665
2429|3952
2429|2791
2441|135
2453|4517
2463|4711
2501|8282
2511|5407
2536|6417
2574|3008
2720|7643
2833|8634
2854|5211
2872|4749
2895|4001
2994|731
3042|8855
3056|2523
3084|9443
3114|9757
3174|6994
3201|7609
3236|4908
3247|5427
3385|28
3385|400
3439|2255
3474|4298
3583|9756
3585|7320
3636|8011
3691|1778
3716|7355
3813|8074
3833|4832
3868|5108
3919|988
4113|598
4132|392
4209|3978
4224|5735
4229|4710
4433|9667
4591|2768
4656|7266
4681|1942
4703|7770
4744|9895
4873|7569
4891|1286
4927|1047
4993|4702
5006|2194
5023|2522
5058|1004
5214|5463
5374|7614
5386|8974
5396|8908
4341|1049
5448|6712
5488|5842
5544|7638
5566|9039
5619|8307
5680|3552
5694|3731
5771|4188
5819|1103
5876|4034
5936|5965
6051|8409
6090|8424
6121|6304
6122|3114
6151|1006
6162|1966
6270|7986
6285|4358
6287|789
6322|4381
6339|3661
6360|6139
6440|3379
6471|7424
6502|6966
6528|3961
6543|2395
6606|5258
6705|5802
6715|3139
6855|4002
6863|892
6896|2274
6974|3982
7034|4136
7112|198
7160|4844
7192|2465
7235|1425
7235|7671
7264|8899
7328|2626
7404|3973
7454|9350
6233|1600
7476|9173
7483|410
7504|4318
3448|884
7550|1580
7556|9284
7556|9815
7614|9082
7631|8720
7634|530
7666|2863
7731|6671
7737|9427
7774|4781
7831|3823
7889|9865
8158|2141
8241|956
8264|2128
8287|1813
8296|7781
8304|2754
8345|170
8430|8631
8460|46
8514|7858
8516|5998
2410|1824
8718|3229
8776|9147
2777|5976
8874|6756
8900|4928
8904|4677
8958|4133
2558|203
9028|3837
9071|355
9227|1567
9331|517
9421|3656
9447|2463
9451|354
261|6615
9507|1649
9714|1705
9865|7850
9887|5174
9909|5233
9972|1995
10031|4422
10050|2737
10061|1114
7199|4588
10135|1022
10168|2995
10183|7835
10216|77
10229|2054
