Comment|Tag
0|62
1|147
2|7
2|40
3|116
4|67
6|159
6|76
7|31
9|101
9|83
10|13
11|158
12|99
12|72
13|15
13|120
14|56
14|142
15|150
15|4
16|141
17|48
21|42
22|81
26|34
27|55
27|24
28|108
28|145
29|14
29|27
30|105
32|138
32|90
32|125
33|100
33|45
37|91
39|109
39|66
40|70
42|61
46|23
49|96
50|103
52|12
53|119
53|118
54|25
55|117
56|64
57|112
59|94
59|71
60|151
62|79
64|122
65|98
66|122
67|10
69|74
69|122
70|122
73|82
74|157
74|85
74|26
74|20
74|60
75|16
75|122
77|122
78|39
78|122
84|122
85|122
86|64
88|122
89|122
90|137
90|111
92|64
93|32
93|64
93|122
94|97
94|64
95|64
97|64
100|64
103|64
104|122
104|77
106|77
106|122
108|123
109|64
109|77
111|64
112|49
112|64
112|77
113|122
114|64
116|64
116|122
117|64
118|77
119|64
120|64
121|122
121|64
122|121
122|122
122|77
125|64
126|122
128|64
128|77
130|77
133|87
133|156
134|77
135|77
136|122
137|64
138|122
139|64
140|118
141|118
142|122
143|118
144|122
146|118
148|64
149|64
151|118
151|64
151|122
152|77
152|118
153|64
154|64
156|77
157|118
157|77
157|122
157|139
161|118
161|77
162|122
162|77
164|77
165|139
167|118
168|77
169|122
172|118
173|77
174|64
177|118
179|64
184|77
184|118
185|77
185|118
186|77
186|139
187|118
187|122
188|64
189|122
190|122
191|77
191|139
193|118
194|122
194|118
194|64
194|101
200|77
201|118
202|64
204|122
205|122
207|101
208|77
209|122
212|64
214|121
215|122
215|64
216|121
216|139
218|118
218|122
218|77
220|118
220|122
220|64
220|77
222|118
222|77
222|64
223|64
223|118
223|121
229|64
229|122
231|139
232|121
233|139
234|118
236|139
236|121
237|122
238|121
240|118
240|77
240|64
242|101
243|118
244|139
244|81
247|118
247|122
248|122
251|77
251|139
252|118
253|139
254|101
255|101
255|122
255|64
256|81
257|105
257|121
258|90
263|122
264|64
268|121
269|118
270|121
278|122
278|139
280|105
281|155
281|139
283|42
284|121
285|121
286|121
286|122
287|118
287|105
287|90
288|118
289|105
290|81
290|118
291|105
292|122
294|155
294|105
294|21
295|118
296|81
296|105
298|76
300|105
301|139
302|90
302|121
303|81
304|101
306|64
309|139
310|64
310|100
311|122
312|101
316|122
316|139
318|122
318|64
319|100
322|81
323|90
323|42
323|155
328|64
328|76
329|121
330|76
330|81
331|139
332|139
335|90
337|64
341|76
344|101
344|100
349|81
351|122
352|121
354|21
356|122
358|155
359|13
361|105
362|100
362|42
364|77
364|105
364|42
364|155
365|77
367|29
