Comment|Country
2097|107
2390|103
11646|108
4384|15
19845|57
24704|44
46178|45
23590|55
51629|109
53300|81
54547|24
12528|51
57962|48
58267|84
58913|78
63481|10
65437|99
66163|70
41421|80
71527|58
83651|28
88969|83
92678|88
96675|106
22977|63
84879|19
95342|91
97155|89
98688|25
98875|37
107991|16
112931|82
3489|21
79548|104
113773|36
39223|20
42818|53
86815|12
119780|9
124799|69
100084|95
125163|27
126364|5
53341|100
126580|54
61280|17
135357|46
28115|18
99131|40
136756|52
79070|22
137911|23
11657|90
132985|39
139521|72
59699|76
145135|3
3901|1
103731|30
145388|75
145755|62
123196|49
145800|56
76803|92
147692|86
152765|71
156893|110
154133|65
159514|102
123150|0
163122|67
164388|97
165263|96
169320|59
134006|7
170049|105
170482|26
92208|60
171818|8
19761|43
172747|47
101853|35
172879|6
173039|68
172927|29
173263|2
174398|73
117304|85
174452|98
52143|38
174898|32
175045|66
176512|4
28538|50
104886|61
106657|64
180016|13
180364|42
22420|87
60669|77
193127|11
9383|94
33310|33
193741|14
3070|93
92388|41
194221|34
195491|101
67837|79
122090|74
197919|31
