Comment|Post
3|92207
5|24030
7|29137
9|22067
12|16542
17|59320
23|32391
33|33734
33|99943
34|10026
42|23459
43|405
44|62697
56|43983
62|18519
65|65474
67|44027
69|56107
79|53606
79|1696
79|99280
82|80237
82|28584
86|83249
87|94882
87|62603
95|16353
97|90168
98|27459
106|57700
110|95427
111|45726
124|51590
129|76984
151|59897
159|49351
161|83559
162|42882
170|44247
175|92635
175|517
182|57569
197|89747
201|96801
204|84161
212|55217
213|24327
216|43342
220|86594
227|50283
228|28086
229|82292
232|86550
238|17069
240|65731
240|75230
242|21590
244|59015
255|13446
260|42634
262|48819
263|9249
265|33545
265|48587
273|92236
275|66266
281|58994
282|79072
286|44131
287|33067
289|45777
291|56536
293|82822
297|45481
302|42644
314|46500
324|55625
325|35003
326|86498
339|16595
353|1973
353|94054
364|10278
364|56834
367|75471
374|69564
384|44135
387|15072
389|87363
399|9374
411|98696
411|65293
412|80578
414|42255
419|68308
422|75938
434|46479
442|82760
444|92062
448|71610
454|90083
455|68563
458|87834
460|64637
469|58718
475|83937
477|92922
477|47407
501|10362
503|27636
511|60593
516|47
517|6399
520|36182
537|4667
540|29201
541|9814
553|28625
560|26142
560|15763
565|54159
572|26149
578|27989
579|60711
583|31633
589|36497
597|33605
600|39277
600|95032
607|16826
618|40086
627|61551
631|37856
633|92128
635|56305
636|85223
646|64375
647|26604
657|9114
657|25288
667|60863
668|60775
670|4448
672|67039
680|39623
685|10667
687|41475
690|15677
693|35915
694|40756
695|77653
695|25439
701|73666
713|1655
717|82522
718|75328
731|91160
735|25897
744|53977
752|49499
762|88536
764|94594
767|39520
771|65906
773|948
774|99968
775|25688
775|45351
776|9564
787|6620
790|49760
794|52163
794|71738
796|23160
802|75247
804|90661
810|14264
811|65442
813|68334
825|76884
826|52325
837|24342
839|86227
845|62493
851|4117
854|53547
854|12272
856|37316
857|79909
863|999
865|71428
867|69140
867|28074
868|39581
868|36769
883|58132
899|17438
904|97258
906|84523
923|54594
924|31152
924|17865
935|17056
950|47741
959|79694
963|768
973|32576
984|98653
985|37439
987|84925
990|16769
991|13421
993|98050
996|62036
996|1893
1000|39576
1002|71875
1007|26692
1007|27392
1020|29348
1026|10949
1026|31328
1036|15584
1039|13022
1039|81376
1051|87673
1054|1886
1054|15474
1058|45735
1058|22593
1066|20563
1075|8955
1091|64719
1094|61795
1095|17808
1110|63747
1114|40333
1126|45591
1127|7397
1127|79123
1130|96529
1130|13767
1132|83337
1133|38757
1149|90708
1156|70915
1158|6402
1159|25223
1174|52824
1179|86039
1185|30777
1187|33806
1195|28710
1196|30431
1201|3715
1204|33725
1205|14102
1207|94182
1228|36496
1231|92839
1240|32434
1277|44508
1279|60492
1289|68019
1301|4119
1303|25748
1312|41322
1313|6391
1333|54540
1335|27493
1339|53303
1343|11650
1345|63450
1349|48182
1375|23559
1377|37215
1382|59476
1383|97081
1392|100000
1398|25158
1398|72960
1401|95100
1429|15664
1431|61690
1433|24740
1435|43092
1446|72619
1446|35580
1453|61864
1457|26930
1461|3327
1462|17776
1469|16628
1506|33424
1506|26819
1507|20121
1508|5321
1509|47415
1514|85883
1514|66019
1516|50268
1524|76025
1524|91282
1527|12224
1530|33027
1530|53175
1532|83279
1535|19943
1552|68393
1552|5376
1554|47277
1555|21057
1557|50653
1567|63345
1573|81655
1574|94261
1591|86269
1597|42306
1604|78139
1605|54876
1624|15835
1647|73621
1653|18889
1653|58850
1660|60907
1662|22924
1663|5087
1666|4549
1669|11164
1671|44580
1673|71923
1676|21730
1687|86813
1704|28271
1704|79768
1707|42665
1713|80341
1715|67842
1716|30126
1717|42991
1719|79181
1731|31913
1732|26736
1739|37238
1740|45836
1745|50454
1749|41511
1753|79840
1769|8677
1776|48751
1778|17076
1779|10554
1779|12350
1779|93220
1790|30350
1795|4473
1796|32859
1797|90408
1797|55518
1814|94931
1833|33140
1833|76489
1835|47231
1844|61392
1844|14259
1850|20169
1857|42006
1859|70417
1868|870
1869|48670
1871|20793
1871|78177
1878|38264
1885|37468
1895|99045
1896|99323
1897|48480
1897|79520
1903|77720
1903|65979
1914|28495
1925|76401
1930|65833
1932|3084
1934|46693
1936|91997
1941|82225
1949|88225
1969|72452
1974|4397
1991|66230
1992|44058
1998|76265
2002|61097
2003|46476
2009|41294
2009|67675
2009|51685
2012|62750
2023|35418
2027|28334
2030|15310
2038|75327
2039|63079
2045|39352
2050|44170
2055|94453
2060|90077
2061|43912
2063|62610
2071|80387
2072|69010
2073|86972
2083|81520
2100|99341
2106|58961
2119|41541
2120|50340
2121|50288
2124|79607
2128|89610
2135|42305
2139|14613
2145|93871
2149|39358
2150|34730
2155|79026
2156|5405
2164|7834
2167|58307
2178|76412
2186|49812
2186|40300
2188|30643
2195|7986
2196|92349
2198|80759
2213|78444
2227|18140
2231|3714
2232|94514
2234|46908
2242|19588
2247|26747
2247|53101
2250|34233
2254|53790
2264|92367
2270|97722
2275|92767
2281|31919
2283|81000
2288|73831
2298|32397
2298|10801
2332|52126
2337|79772
2338|77560
2341|97193
2342|96522
2351|80249
2352|15952
2353|18336
2358|72403
2360|15804
2377|98267
2378|68915
2386|83528
2400|29704
2405|9284
2411|95934
2412|78860
2419|89105
2419|62346
2419|99199
2420|15185
2421|87615
2422|61411
2424|92780
2427|86609
2432|44897
2435|72305
2439|33097
2441|70846
2442|32799
2444|73280
2448|20639
2450|68984
2454|96714
2463|84838
2464|92654
2467|52317
2467|18114
2473|6122
2478|19421
2485|45901
2491|58764
2506|40412
2511|32452
2542|31322
2548|7537
2548|93956
2561|29230
2568|87027
2579|57011
2586|54460
2592|15834
2595|16856
2596|37625
2602|62390
2602|67256
2609|82897
2616|23909
2628|89362
2632|87366
2636|82849
2637|36155
2649|98936
2653|10031
2656|15050
2657|99158
2659|94401
2670|84290
2674|41328
2677|13058
2679|23946
2685|12816
2686|55686
2687|3362
2691|2450
2692|61099
2694|97144
2695|77386
2709|46095
2721|73342
2725|91260
2725|23018
2731|31722
2734|81803
2737|87784
2761|77991
2772|75226
2779|99008
2786|6627
2789|13217
2795|59243
2807|4839
2808|42639
2818|88534
2820|67323
2833|15084
2836|60565
2848|78257
2848|86319
2855|96611
2858|65594
2858|10370
2859|40402
2862|85735
2870|24560
2879|64684
2881|18506
2882|92123
2886|48416
2919|88845
2919|88064
2924|24921
2935|64740
2935|77327
2936|12828
2948|69249
2960|95536
2964|93067
2976|4233
2979|53796
2983|12344
2983|69023
2989|60491
2990|31489
2997|74652
3002|90894
3016|36195
3017|2241
3023|17767
3028|82865
3035|78386
3035|86962
3043|58711
3048|4094
3051|88142
3055|51230
3058|33914
3072|34061
3074|87000
3079|1350
3089|10968
3091|53726
3091|15518
3108|43863
3114|85283
3126|34134
3135|84342
3136|68340
3140|92090
3149|12527
3150|5688
3161|16936
3163|81635
3165|42904
3167|25362
3181|13539
3188|86072
3192|83258
3193|8192
3201|6882
3201|37987
3217|15278
3218|89480
3218|81649
3219|8365
3223|50574
3229|54177
3231|1330
3233|72467
3251|74767
3252|25637
3253|97802
3265|33923
3273|95535
3276|93331
3278|85725
3281|63639
3281|63416
3291|85197
3293|24651
3296|67099
3302|46704
3302|75548
3307|31584
3309|87705
3319|3043
3326|16993
3327|90039
3328|77479
3341|52208
3343|39949
3343|95138
3346|79182
3348|98579
3355|11516
3362|33096
3377|35431
1195|3378
3381|31420
3386|49246
3389|40622
3394|35086
3395|13411
3397|90097
3402|36637
2783|36111
3403|15502
3410|55720
3412|4685
3413|42482
3415|42361
3415|11409
3418|97221
3419|78253
3433|413
3439|90424
3440|28306
3441|97087
3453|90293
3456|85043
3456|41585
3468|21146
3504|53549
3507|85787
3514|50840
3518|45941
3527|79343
3530|33210
3533|13237
3535|82996
3539|25071
3556|5106
3557|43221
3562|98901
3572|97555
3573|46733
3577|97041
3582|18484
3590|28571
