Forum|Person|joinDate
0|9053|2002-03-01 15:55:35
0|7206|1999-04-07 19:14:23
0|7861|1970-11-14 08:55:03
0|9748|2004-03-18 05:50:37
1|3492|1987-08-15 11:36:10
1|1848|1988-04-27 17:56:07
1|8480|1960-01-10 20:25:18
1|8048|1969-11-25 15:38:20
1|9929|1986-10-03 16:05:46
2|9513|1971-11-30 22:32:24
2|5400|1975-01-29 14:11:51
2|2865|1974-11-06 15:59:41
2|7323|1974-03-29 13:21:54
3|5186|1964-11-25 12:48:03
3|7153|1968-04-13 07:25:59
3|8787|1997-05-29 16:39:38
3|2595|1966-08-26 19:34:59
4|2287|1986-03-15 08:14:05
4|7780|1960-04-05 03:38:57
4|8664|1965-11-26 19:46:23
4|3582|1966-10-07 08:16:38
4|4351|1999-03-16 16:41:16
5|5897|1963-11-22 01:07:58
5|2301|1963-09-04 00:13:38
6|1508|1983-10-14 16:49:10
6|7768|1973-02-25 00:08:27
6|1285|2003-03-30 10:39:36
7|6463|1965-10-16 06:36:10
7|5005|1964-07-11 06:26:51
7|5231|1981-05-15 17:36:53
7|6358|1990-07-28 23:39:11
7|6661|2004-09-09 16:00:17
8|6658|1987-02-27 15:53:25
8|8267|1962-09-25 09:45:43
8|1592|1984-11-12 00:15:43
9|9752|2001-05-26 22:10:00
9|5861|1972-01-30 20:10:44
9|7964|1964-05-10 20:11:10
9|8739|1990-10-26 02:36:28
9|2774|1974-12-23 08:55:03
9|1055|1981-11-28 20:09:07
10|4162|1975-03-18 22:28:21
10|7890|2006-05-03 09:33:31
10|4181|1983-12-21 17:10:21
10|4347|2006-06-15 22:51:15
10|8684|1989-08-17 01:13:44
10|3261|1978-08-30 06:36:44
11|6751|1994-03-10 11:18:56
11|6332|1998-05-25 07:09:10
11|7437|1973-10-05 10:21:11
11|5132|1971-12-03 11:28:42
11|2923|1989-12-14 06:01:23
12|6823|1960-10-13 10:24:26
12|4863|1994-03-13 08:50:14
13|8266|2007-08-03 16:03:17
13|6338|1990-09-21 02:25:49
13|8419|2000-06-15 14:47:22
13|9351|1975-07-03 13:34:40
13|4004|1971-06-27 04:52:24
14|830|1977-07-23 06:36:07
14|2363|1973-02-17 16:10:08
14|3338|1983-06-16 22:53:24
15|2665|1971-10-14 00:49:44
16|6243|1999-10-01 22:05:05
16|8704|1992-03-10 11:27:21
16|3835|1964-11-10 22:29:33
16|37|2003-10-29 07:20:28
16|660|2007-07-10 20:27:22
