Person|Tag
0|108
1|67
2|18
2|98
3|78
4|112
5|70
6|37
6|127
7|113
8|15
11|96
12|157
12|143
12|24
15|125
15|155
16|159
16|117
16|53
18|90
18|27
20|36
20|52
21|46
21|144
22|82
24|35
25|93
25|20
25|80
28|75
28|26
32|68
33|50
34|95
35|7
36|99
37|109
38|141
38|76
39|83
40|154
40|23
40|135
41|131
43|31
43|65
44|146
45|0
45|130
46|71
46|145
46|11
48|47
49|81
50|5
52|137
53|92
55|110
59|94
60|136
61|106
61|55
63|19
71|87
72|156
73|74
73|121
73|111
73|118
73|152
74|41
75|14
42|30
76|43
77|149
77|62
77|8
78|58
78|128
79|40
79|1
80|100
83|148
83|45
83|88
84|38
86|102
87|89
87|17
88|120
88|57
89|22
89|150
91|57
92|18
93|18
94|57
94|153
94|20
95|0
96|92
97|20
98|153
98|10
100|57
100|0
101|137
101|0
101|18
101|57
102|27
102|20
103|153
105|61
106|10
107|137
107|27
108|98
109|137
110|153
111|61
111|57
112|57
113|10
114|61
116|57
116|0
117|10
117|98
118|57
121|27
121|34
122|61
122|92
123|153
124|20
126|34
128|0
128|18
129|34
130|0
130|57
131|137
132|149
132|142
132|21
132|0
134|10
136|142
137|20
138|1
139|34
139|153
139|10
140|92
142|21
144|106
145|21
145|0
148|50
149|149
150|142
153|50
154|50
154|20
155|61
156|98
158|92
158|57
158|59
158|153
158|106
160|92
161|98
162|27
162|20
162|0
163|149
163|105
164|10
165|1
166|37
168|0
169|61
169|50
170|50
173|149
174|137
174|149
174|142
176|27
177|150
179|105
180|18
183|34
183|61
183|0
184|120
184|50
184|111
186|59
187|59
187|10
188|111
188|153
189|10
189|105
189|41
191|153
192|61
192|98
192|59
194|56
195|1
199|59
200|34
200|111
201|7
201|36
202|137
202|71
203|121
204|142
205|106
206|27
206|1
209|153
209|57
213|21
216|98
216|7
217|137
218|137
218|153
219|149
219|120
219|13
219|50
219|61
220|56
220|153
220|20
221|1
222|150
223|34
224|37
227|121
227|10
230|36
234|106
234|105
236|36
237|7
238|121
239|50
239|92
240|106
240|147
240|36
240|56
242|93
243|10
243|121
244|36
244|149
248|50
249|71
220|10
250|59
253|7
253|106
254|37
254|10
256|137
256|41
257|49
257|1
258|15
258|34
258|21
259|59
259|7
259|0
260|105
260|120
261|139
262|34
265|57
265|61
265|41
265|120
267|56
267|149
267|120
269|98
269|41
270|92
272|56
273|105
274|4
276|21
277|81
277|87
278|137
280|13
281|149
281|150
281|36
281|18
281|50
282|142
287|41
288|87
288|56
290|1
291|33
294|61
295|142
296|41
297|94
300|27
300|120
302|121
302|146
302|57
303|98
303|106
304|37
306|27
306|59
307|137
309|89
309|146
313|30
314|105
315|1
315|13
316|105
316|120
316|87
318|56
321|93
322|149
322|1
323|36
324|61
324|33
324|15
326|111
328|34
329|136
330|18
330|33
334|49
335|111
336|153
336|147
336|99
336|32
341|98
341|72
342|10
342|33
343|117
344|149
344|50
345|30
347|34
349|49
352|21
354|20
354|18
354|93
354|139
354|10
355|50
355|4
356|27
356|36
356|52
357|111
357|34
358|94
359|111
359|27
362|18
362|21
362|139
362|87
364|18
365|121
367|119
368|7
369|92
372|147
372|121
374|37
377|36
379|146
379|157
379|4
382|111
383|7
386|36
387|105
387|1
388|52
388|120
390|117
392|121
392|146
393|85
393|10
394|71
394|41
394|32
396|1
397|142
398|155
402|59
403|32
403|7
404|130
405|79
405|72
406|92
407|30
408|0
409|154
410|105
410|58
411|150
411|15
415|37
417|1
419|71
419|93
419|149
420|33
420|87
423|27
424|157
425|150
426|121
429|142
432|93
432|136
434|57
435|80
257|56
435|130
436|18
436|85
437|58
438|81
438|147
217|18
438|30
443|52
444|149
444|120
444|137
444|84
447|15
447|126
449|59
450|87
450|85
451|75
452|84
453|41
453|37
454|21
454|67
455|94
456|32
456|58
458|130
458|0
459|111
121|10
459|105
459|96
459|38
460|146
460|14
461|67
463|27
464|37
468|14
471|0
471|16
472|93
472|94
472|30
472|67
473|150
475|147
475|4
476|118
477|58
479|13
479|27
479|154
479|40
481|50
482|106
486|31
486|33
487|150
487|89
489|130
489|154
490|21
491|70
492|67
494|16
494|120
459|119
497|142
499|80
503|80
504|87
505|21
506|34
406|72
506|147
507|126
507|59
507|18
507|81
508|24
510|156
510|154
511|24
513|41
513|16
514|70
514|140
515|40
516|130
517|111
518|50
518|14
520|112
521|142
521|27
523|109
525|32
525|81
527|89
527|65
528|14
529|130
530|139
530|154
531|137
532|155
534|142
535|0
536|119
538|153
538|38
539|37
539|69
540|20
545|75
546|130
546|77
547|150
547|79
548|117
548|80
548|143
548|24
551|0
553|61
553|70
553|37
554|94
554|155
554|59
