Post|Country
10840|18
15427|75
55|101
15761|25
17386|82
17822|76
18164|35
20245|23
22118|51
24112|95
29550|105
31183|61
32011|96
36418|57
37314|38
39944|7
40161|109
8582|43
41645|83
45195|1
31268|77
48000|73
48063|31
48517|106
48628|93
49797|64
51108|24
51449|62
51916|29
48568|5
52471|69
3358|37
58343|28
47647|45
58942|85
60238|108
62321|65
21633|58
63887|8
65579|74
65940|2
66753|53
67484|19
25404|14
70004|60
32317|21
38464|70
42174|17
71512|20
11370|104
29753|52
31143|22
71647|68
39778|92
72106|99
72927|55
65825|94
74816|84
75759|4
31866|102
75832|6
76148|100
76280|88
27169|36
78489|10
3794|91
49421|48
79466|80
80101|50
81023|16
49025|79
81053|49
81869|71
82576|97
80730|98
82797|44
41622|67
52967|12
83531|33
86025|41
18644|30
57555|34
58811|13
65536|63
86476|0
16346|40
75490|78
77565|42
87075|110
67934|47
89787|86
89800|72
90411|81
90829|66
76106|9
91050|87
44445|46
53268|39
77157|32
93579|26
71307|56
95644|15
95890|27
33472|107
87026|54
97749|11
42278|103
80598|90
98797|3
23007|89
98806|59
